content,reply,image_urls
"이런 경험 있으신분?
탱낭꾸 | 2024. 7. 22. 20:39 | 15
소마인 잘못받아서 회수문의글 남겼는데 회수처리 대기중인데,
PC로 접속하면 구글마켓에서 다운로드한 게임으로 접속하라면서 pc버전 이용이 불가능하고
폰으로 접속하면 결제한도 초과되었다는 알림이 계속 뜨네요.
  혹시 이런적 있으신분들 있나요?
  0
0
0
0
0
0
탱낭꾸
일반 멤버
룩세리온|평화|디스트로이어|레벨 251
+ 구독하기 0",,https://hedwig-cf.netmarble.com/forum-common/enn/enn_ko/thumbnail/30483f67381f44e18347267543c7c53d_1721648179283_d.jpg; https://hedwig-cf.netmarble.com/forum-common/enn/enn_ko/thumbnail/264c19af230c4c8eb319ad1a09b2d711_1721648188343_d.jpg
"[CESCO] 다른 게임으로 힐링 중~
귀신이야 | 2024. 7. 22. 20:35 | 12
                     0
0
0
0
0
0
귀신이야
신입 멤버
칼리아|CESCO|위치|레벨 246
+ 구독하기 2",,https://hedwig-cf.netmarble.com/forum-common/enn/enn_ko/6110080f29c3443594dc5a5a8ca345a4_1721648401450.gif; https://hedwig-cf.netmarble.com/forum-common/enn/enn_ko/thumbnail/18c3b9b3b3ea435baa704c035eb31c0f_1721648389619_d.jpg; https://hedwig-cf.netmarble.com/forum-common/enn/enn_ko/thumbnail/66ffc2c40f9144148c82688bc7318850_1721648389633_d.jpg; https://hedwig-cf.netmarble.com/forum-common/enn/enn_ko/thumbnail/96d55fef97254bd9a802437bd858b5eb_1721648389642_d.jpg; https://hedwig-cf.netmarble.com/forum-common/enn/enn_ko/thumbnail/b14f0a1cdfa643c484f5a28e2e7ecb62_1721648389649_d.jpg; https://hedwig-cf.netmarble.com/forum-common/enn/enn_ko/thumbnail/6eb4414a3a8a4fc099b6c1e2414f9755_1721648040696_d.jpg; https://hedwig-cf.netmarble.com/forum-common/enn/enn_ko/thumbnail/35da315a44164da29d7bbd82ad8fdfca_1721648040704_d.jpg; https://hedwig-cf.netmarble.com/forum-common/enn/enn_ko/thumbnail/36208cb4f7fe49b4b0542eff92e6258a_1721648040711_d.jpg
"데키
귀여운심리 | 2024. 7. 22. 02:15 | 207
데키 나와라
0
0
0
0
0
0
귀여운심리
신입 멤버
이그니스|그리드|위치|레벨 236
+ 구독하기 1",,
"개같은 운동회 끝나면 이제 뭐임?
막피의막피 | 2024. 7. 21. 21:34 | 330
섭종?
0
0
0
0
0
0
막피의막피
성실 멤버
루슬란|-|위치|레벨 3
+ 구독하기 0",,
"추적던전 버그 ?? 인가요??
뜨든뜨든 | 2024. 7. 21. 19:03 | 278
추적던전 도는데 잘 치고있다가 갑자기 데미지 하나도 안들어가길래 엥 뭐지 싶어서 
도망가면서 나가기 버튼 계속 눌렀는디 .. 나가지지도 않고 갑자기 딜 안들어가던 그 위치로 캐릭터 순간이동 하면서 연타 두두둑 들어오고 죽어버리는디 ...
0
0
0
0
0
0
뜨든뜨든
신입 멤버
|듬직한아저씨|로그|레벨 217
+ 구독하기 0",,
"수호룡 코스튬 다시내줘요
선생님 | 2024. 7. 21. 18:12 | 319
ㅜㅜ
0
0
0
0
1
0
선생님
일반 멤버
|그리드|디스트로이어|레벨 226
+ 구독하기 0",,
"어딘가에서 잘 지내고 계실 분들께 :)
천지온 | 2024. 7. 21. 03:31 | 657
  안녕하세요 :>
  그냥 조용히 떠날까도 고민했지만! (적을 생각이 더 컸지만!)
그러기엔 만난 분은 많았고 보고 싶은 분도 많았다아....
  들어보신 적이 있으신 분들도 계시고 아닌 분들도 계실 거라 생각하며...!
오직 저와 이야기를 해보고 같이 컨텐츠도 즐겨보신 분들을 생각하며,
작성하기로 했습니다.
  성격상 아실 분들은 아시겠지만 구구절절 즐거웠다, 보고 싶다, 그립다 등등
긴 글 작성해야 성정에 맞겠지만 긴 글을 읽으실 분들 얼마 없으시잖아 !
  그래서 짧고 간결하게!
약 1년 반이라는 시간 동안 잘 즐기고 씹고 뜯고 씹히고 뜯기다 갑니다!
인연이 된다면, 죤이 싫지 않았다면, 또 어디선가 만나요!
  그립고 보고 싶은 인원 겁나 많지만!
연락이 안 닿을걸 알기에! 접은 사람마저 포함인지라! 누나아아악
무지 좋아했고 아끼고 좋아했고! 좋아해요!!!!
  안녕!!
  2023.01.14 ~ 2024.06.28
0
0
0
0
5
0
천지온
NT: THE SUN 캐스터
라니아|동물쉼터|로그|레벨 194
+ 구독하기 6","Al중 | 2024. 7. 22. 09:59 답글
오장원에 별이 지는구나 
토끼라우 | 2024. 7. 21. 14:14 답글
지온님 갑자기 어디가셔우?
답글 2개 모두 보기
숲속의숩 | 2024. 7. 21. 10:27 답글
만난지 얼마 안되어서 더 아쉬운 마음이 커요ㅠㅜ 대화 더 해볼걸!!!! 어제 새벽에 만났을 때 말걸어볼걸!!! 소중한 죤님 행복한 길만 걸으시길! 인연이 닿는다면 또 만나요 :)
레이첼디 | 2024. 7. 21. 09:48 답글
지온님 어디가요 ㅜㅜ 많지않은 시간이었지만 만나서 반가웠어요! 좋은기억만 갖고가시고 언제나 어디서나 행복하시길 바래요 <3",
"칼퀴 수준
비밀의여자 | 2024. 7. 21. 00:23 | 468
      1
0
1
0
0
0
비밀의여자
신입 멤버
칼리아|CESCO|로그|레벨 177
+ 구독하기 0","93C05F | 2024. 7. 21. 00:31 답글
어머니가 참 바른 말만 하시네요 ^^",https://hedwig-cf.netmarble.com/forum-common/enn/enn_ko/thumbnail/cdea86251f34422782517988ddb69a9b_1721489005084_d.jpg; https://hedwig-cf.netmarble.com/forum-common/enn/enn_ko/thumbnail/7a317b21c1294a719ecc7b56133daabe_1721488999134_d.jpg; https://hedwig-cf.netmarble.com/forum-common/enn/enn_ko/thumbnail/f169e95dd59b4f2bb03413983eb3e84e_1721488992078_d.jpg
"강제참여이벤트 솔직히 님들손해지
볶음진짬뽕 | 2024. 7. 20. 19:58 | 490
남아있는사람들한테 재미를 줘도 모자를판에 중복사용도안돼는 이벤트 삽노가다를시키네
  그나마 전에있던 페이투윈 게임이 롱런했던 이유가 뭔줄아냐?
  귀찮게안해서 롱런했던거야 쪽템뿌리고 강제참여 생색내는게 아니라
    큰착각하고있네
0
0
5
0
0
0
볶음진짬뽕
성실 멤버
레일라|NEW|위치|레벨 225
+ 구독하기 0",,
"굿모닝
귀신꿈꿔 | 2024. 7. 20. 08:01 | 448
             0
0
2
0
0
0
귀신꿈꿔
일반 멤버
칼리아|CESCO|소드맨|레벨 217
+ 구독하기 3",,https://hedwig-cf.netmarble.com/forum-common/enn/enn_ko/thumbnail/83e1d16f3a574fdfa64871f49941000a_1721430063759_d.jpg; https://hedwig-cf.netmarble.com/forum-common/enn/enn_ko/thumbnail/3f4b4bbff37749f7bc75785573f29f63_1721430063765_d.jpg; https://hedwig-cf.netmarble.com/forum-common/enn/enn_ko/thumbnail/40029a76b2db4c859d58676e42c6ea7a_1721430033798_d.jpg; https://hedwig-cf.netmarble.com/forum-common/enn/enn_ko/thumbnail/7b7c7b97a6fc4a64bdd9dd5928d199d3_1721430033813_d.jpg; https://hedwig-cf.netmarble.com/forum-common/enn/enn_ko/thumbnail/8ac9d885d87246b28f9b614859141d8c_1721430033816_d.jpg; https://hedwig-cf.netmarble.com/forum-common/enn/enn_ko/thumbnail/cb518550c6324fbbb3ccb6a771fd39d2_1721430033818_d.jpg
